Symbol,Fincode,ISIN,Latest_Date,Latest_Close,Latest_Volume,1_Week,1_Month,3_Months,6_Months,1_Year,3_Years,5_Years
LUPIN,100257,INE326A01037,2025-08-22,1974.7,380574,0.6678221859706431,2.8221817235095052,-0.2122391227449616,3.6397512268087304,-6.376825336620509,183.9456467035732,101.21255349500716
LUXIND,213488,INE150G01020,2025-08-22,1302.4,21900,1.133716415592494,-9.517854661664582,-17.840020186727223,-5.694942254082029,-44.2095568549337,-26.128016789087088,-5.414139946984274
LXCHEM,208615,INE576O01020,2025-08-22,213.0,1158819,16.406164608153905,4.926108374384237,9.17478216299334,11.734774169857843,-24.73498233215548,-34.18816622895102,
LYKALABS,100259,INE933A01014,2025-08-22,100.5,44464,0.9948748869460304,-10.801455578237332,-14.05114170871462,-15.125411705092473,-31.455463101896058,-12.836079791847352,371.83098591549293
LYPSAGEMS,236500,INE142K01011,2025-08-22,6.77,12442,-4.107648725212465,-9.612817089452612,-10.68601583113457,8.319999999999993,-21.370499419279906,11.900826446280988,96.231884057971
M&M,100520,INE101A01026,2025-08-22,3403.0,2509867,4.213878850983031,4.105482134116489,12.955156504132512,27.4842190046266,24.517462814906978,167.3002906291729,458.0518202689406
M&MFIN,132720,INE774D01024,2025-08-22,263.0,772931,3.096824774598199,1.466049382716054,5.245426461527707,2.427525407145849,-11.694216619819587,41.87720484692751,107.89136395018835
M&MFIN-RE1,313339,INE774D20024,2025-06-03,69.5,900895,9.190887666928518,,,,,,
MAANALU,132906,INE215I01027,2025-08-22,104.86,30499,-3.98315172603241,-14.091430444043915,-3.8422741861531393,4.131082423038725,-15.889949466591805,167.92717981475565,1103.558106169297
MACPOWER,216198,INE155Z01011,2025-08-22,824.6,5788,-3.3180912181967352,-21.474145319493374,-9.134986225895315,2.149272220501706,-41.503210016670806,270.9401709401709,1309.5726495726494
MADHAV,115093,INE925C01016,2025-08-22,45.5,6671,2.6856240126382254,0.4193334804678829,4.1905198076482675,6.159589360709288,-19.197300657076898,-11.736178467507271,78.0821917808219
MADHUCON,131497,INE378D01032,2025-08-22,6.39,10404,3.733766233766226,-10.504201680672269,-22.732769044740024,-10.12658227848102,-49.803613511390424,-0.9302325581395425,150.58823529411765
MADRASFERT,200032,INE414A01015,2025-08-22,93.85,593619,7.306197118682828,4.638198238376627,-4.273765809873533,17.2831792051987,-17.69709725510831,97.7871443624868,383.7628865979381
MAFANG,302208,INF769K01HF4,2025-08-22,154.89,191030,-3.3146067415730354,0.6236601052426295,13.630694739931027,8.080385178982615,61.411004585243845,,
MAGADSUGAR,286955,INE347W01011,2025-08-22,559.85,5969,11.180617614933972,-5.89174651201882,-22.672651933701655,4.958755155605558,-33.772993434672024,92.15719924489446,338.7539184952978
MAGNUM,132896,INE387I01016,2025-08-22,23.43,14019,3.672566371681408,-3.9360393603936075,-16.261615439599716,-28.52348993288591,-51.57089706490285,93.47353436428727,286.94706872857455
MAGNUM-RE,313054,INE387I20016,2024-02-16,9.0,273678,26.7605633802817,,,,,,
MAHABANK,132525,INE457A01014,2025-08-22,54.8,3312153,0.753815039529319,-3.008849557522129,6.926829268292678,13.62165645629082,-10.047260034365086,227.42797347491108,297.75581284804343
MAHAPEXLTD,123384,INE843B01013,2025-08-22,104.01,6716,-7.563099893352285,-3.614122880177918,-12.464231610839917,-7.125636217519412,-47.72578780720711,37.48843357567746,62.00934579439252
MAHASTEEL,113554,INE451L01014,2025-08-22,343.85,1258,-0.31888679518769847,-2.7160843117838356,15.134773145822885,42.67634854771785,117.2690509288513,425.76452599388386,200.69960647135989
MAHEPC,123754,INE215D01010,2025-08-22,174.79,402018,16.100963135171025,16.807003475006688,25.127067077099284,41.921078272166284,32.95048299992393,63.35514018691588,2.999410724808488
MAHESHWARI,233160,INE263W01010,2025-08-22,59.01,4103,-2.2041763341067373,-2.9759947385728416,2.4123568205484216,1.3743343068201292,-17.248632730332357,-20.951105157401216,-27.26040061633282
MAHKTECH,304474,INF769K01HS7,2025-08-22,24.78,834770,1.3911620294599012,4.117647058823531,8.256880733944955,-1.1173184357541803,84.64977645305515,,
MAHLIFE,132313,INE813A01018,2025-08-22,346.8,44161,1.730712819008517,-8.964431027693918,1.8502202643171841,6.2992549637807285,-34.84618030959086,-21.36069700491971,310.06915195696405
MAHLIFE-RE,313347,INE813A20018,2025-06-12,74.3,429085,27.008547008547,,,,,,
MAHLOG,218067,INE766P01016,2025-08-22,327.2,67656,1.536074476338243,-8.628874616029051,11.088812628782623,28.393605285370064,-30.01383120058638,-27.531249568591015,-4.069794579425841
MAHLOG-RE,313402,INE766P20016,2025-08-11,40.94,239846,18.494934876989873,,,,,,
MAHSCOOTER,100266,INE288A01013,2025-08-22,15586.0,4411,-1.2794527489232328,3.8097775409617687,15.837978446674098,62.5268514463284,66.61232649003438,257.0634929725891,416.71722446002616
MAHSEAMLES,100265,INE271B01025,2025-08-22,668.0,71001,-0.9563347913114457,-9.10946322879108,-3.2655129968865335,0.6024096385542169,3.3975698475350278,65.12174020516623,434.934934934935
MAITHANALL,200556,INE683C01011,2025-08-22,1087.0,16270,-1.6645558168988681,-6.815259322760395,6.804225006140998,14.228667507356029,-2.217424549093698,7.025057844729979,86.68956633748391
MAKEINDIA,305156,INF769K01IB1,2025-08-22,147.22,11247,2.5566004876349613,0.6219670562504248,2.656718499407295,14.274625475432728,-3.208415516107821,,
MALLCOM,221128,INE389C01015,2025-08-22,1209.8,8444,1.1961522375575036,-8.076893853050677,4.844440592772325,-5.410476935105555,-8.687448109291276,75.39688292859731,
MALUPAPER,132728,INE383H01017,2025-08-22,37.98,7006,1.9050174403004927,-7.860262008733629,-4.572864321608041,3.29072613543648,-18.602657522503215,1.1451398135818902,26.59999999999999
MAMATA,313255,INE0TO701015,2025-08-22,414.25,242693,1.9065190651906518,-14.868475133579947,7.807417046193884,6.765463917525773,,,
MANAKALUCO,268722,INE859Q01017,2025-08-22,29.54,369091,-2.8928336620644397,-11.79456554195283,10.22388059701492,28.04508019072388,-3.7471489084392378,39.66903073286053,239.54022988505747
MANAKCOAT,268723,INE830Q01018,2025-08-22,152.19,262802,6.4935973689734805,-2.7042577675489,54.476248477466505,72.27756395743717,135.95348837209303,701.0,3244.8351648351645
MANAKSIA,200023,INE015D01022,2025-08-22,70.95,21204,2.7962909301651795,-14.54895820787667,-3.809652928416489,-0.47692523495581907,-27.550291024200963,-5.901856763925733,82.62548262548263
MANAKSTEEL,268726,INE824Q01011,2025-08-22,59.32,9057,-1.1827419623521587,-7.080200501253138,-4.043998705920414,14.84995159728945,8.684499816782708,49.60907944514503,521.151832460733
MANALIPETC,100268,INE201A01024,2025-08-22,67.19,344242,4.64102164771843,-11.800997637175122,19.194607060493173,8.792098445595855,-27.078359018884306,-27.44060475161987,205.4090909090909
MANAPPURAM,131213,INE522D01027,2025-08-22,266.75,1650988,0.28195488721804507,-2.3966337358214456,15.611320591167171,32.5004967216372,23.03966789667896,162.9374075899458,68.2434563229265
MANBA,313201,INE939X01013,2025-08-22,139.95,75007,1.8929741536221294,1.1491760624457754,3.010451935816263,3.6129414377730034,,,
MANCREDIT,313156,INE545L01039,2025-08-22,183.03,134091,0.1203435260653131,-5.615717821782171,6.779067732337672,14.824341279799244,20.76405384006334,,
MANGALAM,132637,INE584F01014,2025-08-22,81.8,59004,-1.1480362537764384,-11.52930997187973,0.29426189308483924,-20.148379539242484,-35.33596837944664,-41.75863296546814,-38.932437476670394
MANGALAM_1,312974,INE584F01014,2013-05-21,6.05,2,1.680672268907557,0.8333333333333304,-10.370370370370372,-31.250000000000007,-29.239766081871355,-56.00000000000001,-54.68164794007491
MANGCHEFER,130011,INE558B01017,2025-08-22,354.5,295136,3.2624526653073085,10.78125,37.4031007751938,143.84371990645207,158.9481373265157,196.03340292275576,915.7593123209169
MANGLMCEM,102157,INE347A01017,2025-08-22,731.2,16573,2.108644044127918,1.120177015627164,-9.906357811729913,0.31554397036631476,-28.579800742332477,115.66140687214276,243.4476279943636
MANINDS,113269,INE993A01026,2025-08-22,404.25,199703,1.9803229061554046,-7.831737346101236,21.141744081510343,66.83862979777135,-9.846119536128452,365.1898734177215,504.26008968609864
MANINFRA,200083,INE949H01023,2025-08-22,165.65,355627,6.1042787599282615,-9.386795033094469,-1.2400882370476267,0.030193236714982714,-17.443309244953902,91.06113033448673,788.9982110912359
MANJEERA,218548,INE320D01018,2015-01-23,62.2,36,3.6666666666666714,10.774710596616215,11.769991015274043,-4.307692307692303,-3.863987635239567,-24.19256550883607,
MANKIND,211840,INE634S01028,2025-08-22,2606.8,731363,5.427485238210802,0.30011542901116517,7.169873376089463,11.987971216840304,12.38144507673738,,
MANOMAY,284678,INE784W01015,2025-08-22,167.24,2431,-0.42867349368897284,1.6780155642023464,-1.2692602869118468,-6.139858569985406,-43.30847457627118,,
MANORAMA,289858,INE00VM01036,2025-08-22,1414.0,69822,2.7317640220865957,-11.007615331361324,2.634826159541261,32.16188428825122,60.05433244665797,496.17168395311575,
MANORG,114418,INE370D01013,2025-08-22,608.9,14637,10.49813991470829,24.024849781036764,7.162970784934869,27.57175780431594,19.74434611602753,7.655586987270148,
MANUGRAPH,105324,INE867A01022,2025-08-22,22.61,9966,1.118067978533095,13.618090452261312,22.282314764737706,31.990659661412728,-1.6956521739130461,45.87096774193548,100.08849557522122
MANYAVAR,223430,INE825V01034,2025-08-22,776.25,54493,4.3908015061861185,-1.1209477103369154,5.684138869979578,-11.031518624641834,-33.65384615384615,-37.71563828933643,
MAPMYINDIA,303322,INE0BV301023,2025-08-22,1729.6,40643,-2.836919274198079,-4.794407442065291,-13.41609931918302,3.3152141449136847,-20.34081750143927,37.13379583746283,
MARALOVER,121018,INE882A01013,2025-08-22,56.88,51487,-5.843403410031442,-22.273845312927033,-24.69217529458493,-23.68173889708842,-28.23618470855413,-10.566037735849054,293.63321799307965
MARATHON,103101,INE182D01020,2025-08-22,646.95,57576,1.793721973094185,-9.694304857621432,29.974886991461585,42.17118997912318,11.726103099905034,189.91709612368365,980.952380952381
MARICO,131642,INE196A01026,2025-08-22,730.7,1579250,2.835831398212665,1.4016097696364174,4.259113933081261,16.949423815621014,6.991727066403104,42.43664717348929,94.23179160021266
MARINE,291578,INE01JE01028,2025-08-22,171.72,73998,3.5643206079247305,-12.307220917168827,-18.41505131128848,-3.4684355500590187,-32.895662368112546,451.2680577849118,743.4184675834971
MARKSANS,124404,INE750C01026,2025-08-22,179.96,683238,0.7727629073804431,-24.131534569983128,-27.04422913203875,-20.389294403892944,-21.78372739916551,253.55599214145386,240.51087984862824
MARSHALL,290577,INE00SZ01018,2025-08-18,7.21,11778,-5.006587615283266,-22.805139186295502,-37.629757785467135,-63.08243727598566,-77.39811912225704,-75.6526230268024,-20.13589872076732
MARUTI,132500,INE585B01010,2025-08-22,14349.0,458935,10.92300556586271,13.637443573295318,15.225246928450975,16.436549829796032,16.883275566434644,64.54331747032853,105.77943496343036
MASFIN,226625,INE348L01012,2025-08-22,313.9,54503,4.4592346089850174,-5.989817310572028,8.615916955017292,30.628381190178928,13.117117117117107,32.91460832745238,12.650278126682196
MASKINVEST,283341,INE885F01015,2025-08-22,160.72,849,9.698996655518402,1.0817610062893075,-14.465141032464079,-11.351351351351358,119.56284153005463,260.7631874298541,179.51304347826087
MASPTOP50,303601,INF769K01HP3,2025-08-22,62.86,330793,-3.068619892058589,6.128651021441842,15.57271557271557,4.262730137667939,44.638748274275194,,
MASTEK,123704,INE759A01021,2025-08-22,2490.5,80787,-0.562964145971409,-2.306515514062691,6.755540314629855,1.9965188901402684,-15.811713006000168,27.583822135703496,241.96073046821368
MASTERTR,313228,INE677D01037,2025-08-22,151.33,953202,-8.290406642021683,-1.0656380753138044,-5.895155773894651,12.915982689150873,,,
MATRIMONY,223140,INE866R01028,2025-08-22,512.0,11996,0.4512458308809125,-1.708581301593392,2.256840423407232,-4.397348520212857,-30.287970590237595,-26.97190129796035,-8.677427985374116
MAWANASUG,123371,INE636A01039,2025-08-22,89.25,28295,0.34854958398920877,-7.951732673267322,-10.157036440507351,2.988691437802912,-24.31309362279512,4.8766157461809705,190.71661237785017
MAXESTATES,311571,INE03EI01018,2025-08-22,459.4,29257,2.282088389179562,-15.450446305328065,-5.589806822852455,2.969853188389555,-27.824037706205818,,
MAXHEALTH,218071,INE027H01010,2025-08-22,1234.7,1488893,1.1468829360203163,-1.6488768519993664,4.893382040608286,22.21727295223955,42.18920942016468,222.9240224924807,1004.8769574944073
MAXIND,299122,INE0CG601016,2025-08-22,219.5,63171,8.49686125253324,-0.9118815456843671,19.390807723687793,6.563183286132037,-14.321157391072667,204.5360696663315,
MAXIND-RE,313331,INE0CG620016,2025-05-16,33.4,71278,55.06035283194058,,,,,,
MAXVIL,279685,INE154U01015,2023-08-10,216.2,413283,10.446998722860785,4.092441020702937,15.893862235325637,60.266864343958474,89.8989898989899,455.0706033376123,252.97959183673467
MAYURUNIQ,122249,INE040D01038,2025-08-22,542.55,22779,4.8912518124697835,-10.181276384405265,-6.027539620680708,10.656740770956546,-18.852826802273416,16.602192134107018,95.1969778737183
MAZDA,123792,INE885E01042,2025-08-22,287.75,21360,4.979934330536292,-6.465349109348585,7.610321615557226,20.37230704873457,10.809457794208253,141.07741286863268,241.74584323040384
MAZDOCK,219700,INE249Z01020,2025-08-22,2700.3,1126864,-0.7753362240023484,-7.504966773994654,-22.89923764383405,27.40569487367008,20.874226434942212,1660.8738180632542,
